0, Abderrezzak, Abdelhamid
1, Abrate, Marco
2, Abuku, Tomoaki
3, Adam, David
4, Adamczewski, Kamil
5, Adegoke, Kunle
6, Adelberg, Arnold
7, Adell, Jos&eacute; A.
8, Adeniran, Ayomikun
9, Adiga, Chandrashekar
10, Adolphson, Alan
11, Aebi, Christian
12, Agoh, Takashi
13, Agust&iacute;n-Aquino, Octavio A.
14, Ahmed, Tanbir
15, Ahmia, Moussa
16, Ait-Amrane, Lyes
17, Aiylam, Dhroova
18, Akbary, Amir
19, Akhtar, Reza
20, Akopyan, Arseniy
21, Akula, Aditya
22, Ak&uuml;z&uuml;m, Ye&scedil;im
23, Alaca, Ay&scedil;e
24, Alaca, &#350;aban
25, Alanazi, Abdulaziz M.
26, Alanazi, Jamilah
27, lbert, Michael H.
28, Alekseyev, Max A.
29, Alexeev, Boris
30, Alhakim, Abbas
31, Ali, Debbache
32, Alkan, Emre
33, Allen, Edward E.
34, Allen, M. R.
35, Allouche, J.-P.
36, Alm, Jeremy F.
37, Alon, Noga
38, Alpert, Hannah
39, Altman, Harry
40, Alvarado, Sa&uacute;l D&iacute;az
41, Alvarez-Salazar, Elise
42, Alves, Francisco Regis Vieira
43, Alweiss, Ryan
44, Alzer, Horst
45, Amato, Roberto
46, Ambrose, Christopher
47, Amdeberhan, Tewodros
48, Amirkhanyan, Gagik
49, Ammons, Savana
50, Amos, Jeff
51, Andersen, A.S.
52, Anderson, Ian
53, Andrade, Julio C.
54, Andrews, George E.
55, Andrica, Dorin
56, Angelo, Rodrigo
57, Anglani, Roberto
58, Anible, Emily E.
59, Ansaldi, Katie
60, Antony, Deepa
61, Aoki, Miho
62, Apagodu, Moa
63, Apel, Geoffrey
64, Arab, Meysam
65, Araci, Serkan
66, Ardal, Hayri
67, Ardila, Rene
68, Armbruster, Ashley
69, &Aacute;rend&aacute;s, P&eacute;ter
70, Ar&#305;kan, Talha
71, Arnoux, Pierre
72, Arroyo, Aubin
73, Asca&ntilde;o, Joy P.
74, Asinowski, Andrei
75, Askgaard, Jens
76, Asplund, John
77, Assaf, Sami
78, Athreya, Jayadev S.
79, Athreya, Krishna B.
80, Au, Yu-Hin
81, Augspurger, C.
82, Axenovich, Maria
83, Axler, Christian
84, Ayad, Mohamed
85, Aygin, Zafer Selcuk
86, Ayyad, Anwar
87, Bachman, Gennady
88, Bachoc, C.
89, Backman, Spencer
90, Baczkowski, Daniel
91, Bade, Tej
92, Baglini, Lorenzo Luperi
93, Bai, James Haoyu
94, Baier, Stephan
95, ajnok, B&eacute;la
96, Baker, Simon
97, Bal, Hartosh Singh
98, Balaji, Vajresh
99, Balaji, Vishal
100, Balasubramanian, R.
101, Bal&aacute;&#382;i, Peter
102, Bal&aacute;&#382;, Vladim&iacute;r
103, Baldoni, Velleda
104, Balkov&aacute;, L'ubom&iacute;ra
105, Ballantine, Cristina
106, Ballot, Christian
107, Balog, Antal
108, Bamunoba, Alex Samuel
109, Bandyopadhyay, Subhajit
110, Banerjee, Pradipto
111, Banks, William D.
112, Barai, Rakesh
113, Barat, Guy
114, Barber, Ben
115, Barbero, Stefano
116, Bardaji, Itziar
117, Barequet, Gill
118, Barger, Grace
119, Baril, Jean-Luc
120, Barile, Margherita
121, Barman, Rupam
122, Barrios, Alexander J.
123, Bartz, Jeremiah
124, Baruah, Nayandeep Deka
125, Baruchel, Thomas
126, Baskoro, E. T.
127, Bates, Bruce
128, Bat&#305;r, N.
129, Batra, Sanjit Singh
130, Bayless, Jonathan
131, B&eacute;nyi, Be&aacute;ta
132, Beal, Timothy Kevin
133, Beck, George
134, Beck, Matthias
135, Beckwith, Olivia
136, Beeler, Robert A.
137, Behloul, Djilali
138, Behum, Sharon E.
139, Beideman, Calvin
140, Belbachir, Hac&egrave;ne
141, Belkhir, Amine
142, Bell, George I.
143, Bencherif, Farid
144, Bencs, Ferenc
145, Benesh, Bret
146, Benjamin, Arthur T.
147, Bennett, Michael A.
148, Benyahia Tani, Nesrine
149, B&eacute;nyi, Be&aacute;ta
150, Berkove, Ethan
151, Berline, Nicole
152, Bersani, Alberto Maria
153, Berth&eacute;, Val&eacute;rie
154, Bertrand-Mathis, Anne
155, Best, Andrew
156, Beste, Meeri-Liisa
157, Bevilacqua, Erin
158, Bhanja, Jagannath
159, Bhatnagar, Gaurav
160, Shattacharjee, Sreerupa
161, Bhoi, Kisan
162, Bhowmick, Krishnendu
163, Bhowmik, Gautami
164, Bhuniya, A. K.
165, Bhutani, Kiran R.
166, Bialostocki, Arie
167, Bibby, Sean
168, Bidar, Mohammadreza
