   0, Abbasi, Sarmad
   1, Abderrezzak, Abdelhamid
   2, Abrate, Marco
   3, Abuku, Tomoaki
   4, Adam, David
   5, Adamczewski, Kamil
   6, Adegoke, Kunle
   7, Adelberg, Arnold
   8, Adell, José A.
   9, Adeniran, Ayomikun
  10, Adiga, Chandrashekar
  11, Adolphson, Alan
  12, Aebi, Christian
  13, Agoh, Takashi
  14, Agustín-Aquino, Octavio A.
  15, Ahmed, Tanbir
  16, Ahmia, Moussa
  17, Ait-Amrane, Lyes
  18, Aiylam, Dhroova
  19, Akbary, Amir
  20, Akhtar, Reza
  21, Akopyan, Arseniy
  22, Akula, Aditya
  23, Aküzüm, Yeşim
  24, Alaca, Ayşe
  25, Alaca, Şaban
  26, Alanazi, Abdulaziz M.
  27, Alanazi, Jamilah
  28, Albert, Michael H.
  29, Alekseyev, Max A.
  30, Alexeev, Boris
  31, Alhakim, Abbas
  32, Ali, Debbache
  33, Alkan, Emre
  34, Allen, Edward E.
  35, Allen, M. R.
  36, Allouche, J.-P.
  37, Alm, Jeremy F.
  38, Alon, Noga
  39, Alpert, Hannah
  40, Altman, Harry
  41, Alvarado, Saúl Díaz
  42, Alvarez-Salazar, Elise
  43, Alves, Francisco Regis Vieira
  44, Alweiss, Ryan
  45, Alzer, Horst
  46, Amato, Roberto
  47, Ambrose, Christopher
  48, Amdeberhan, Tewodros
  49, Amirkhanyan, Gagik
  50, Ammons, Savana
  51, Amos, Jeff
  52, Andersen, A.S.
  53, Anderson, Ian
  54, Andrade, Julio C.
  55, Andrews, George E.
  56, Andrica, Dorin
  57, Angelo, Rodrigo
  58, Anglani, Roberto
  59, Anible, Emily E.
  60, Ansaldi, Katie
  61, Antony, Deepa
  62, Aoki, Miho
  63, Apagodu, Moa
  64, Apel, Geoffrey
  65, Arab, Meysam
  66, Araci, Serkan
  67, Ardal, Hayri
  68, Ardila, Rene
  69, Armbruster, Ashley
  70, Árendás, Péter
  71, Arıkan, Talha
  72, Arnoux, Pierre
  73, Arroyo, Aubin
  74, Ascaño, Joy P.
  75, Asinowski, Andrei
  76, Askgaard, Jens
  77, Asplund, John
  78, Assaf, Sami
  79, Athreya, Jayadev S.
  80, Athreya, Krishna B.
  81, Au, Yu-Hin
  82, Augspurger, C.
  83, Axenovich, Maria
  84, Axler, Christian
  85, Ayad, Mohamed
  86, Aygin, Zafer Selcuk
  87, Ayyad, Anwar
  88, Bachman, Gennady
  89, Bachoc, C.
