2070, Jacob, Jobby
2071, Kadiri, Habiba
2072, &#321;aba, Izabella
2073, Ma, Lin
2074, Matiyasevich, Yuri
2075, Moore, Phil
2076, Nadeau, Philippe
2077, Obando, Rodrigo A.
2078, P., Akhilesh
2079, Qi, Feng
2086, Xia, Xiang-Gen
4, Adam, David
5, Adamczewski, Kamil
6, Adegoke, Kunle
7, Adelberg, Arnold
8, Adell, Jos&eacute; A.
9, Adeniran, Ayomikun
10, Adiga, Chandrashekar
11, Adolphson, Alan
12, Aebi, Christian
13, Agoh, Takashi
14, Agust&iacute;n-Aquino, Octavio A.
15, Ahmed, Tanbir
16, Ahmia, Moussa
17, Ait-Amrane, Lyes
18, Aiylam, Dhroova
19, Akbary, Amir
