137;;A Note on Concurrent Graph Sharing Games;;16
138;;A Note on Deaconescu's ResultConverning Lehmer's Problem;;8(1)
139;;A Note on Diophantine Fractals for &alpha;--L&uuml;roth systems;;11b
140;;A Note on Fibonacci Numbers of Even Index;;18
141;;A Note on Fibonacci-Type Polynomials;;10
142;;A Note on Finite Sums of Products of Bernstein Basis Polynomials and Hypergeometric Polynomials;;18
143;;A Note on Incomplete Leonardo Numbers;;20
144;;A Note on Integers That Are Uniquely Expressible by Integral Geometric Sequences;;21
145;;A Note on Irregularities of Distribution;;13
146;;A Note on Lerch’s Formulae for Euler Quotients;;15
147;;A Note on Linear Recurrent Mahler Numbers;;5(3)
148;;A Note on Numbers;;21b
149;;A Note on P-sets;;4
150;;A Note on Partitions With Short Profile Steps;;20
151;;A Note on Partitions and Compositions Defined by Inequalities;;5(1)
